text_id	uid	profile	gold_type	f1_eval_note	stage1_tuple_source	stage1_n_pairs	stage1_pairs	final_tuple_source	final_n_pairs	final_pairs	final_n_pairs_raw	final_pairs_raw	final_n_pairs_after_rep	final_pairs_after_rep	gold_tuple_source	gold_n_pairs	gold_pairs	gold_n_explicit_pairs	gold_n_implicit_pairs	gold_audit_verdict	delta_pairs_count	stage1_to_final_changed	stage1_to_final_changed_from_delta	drift_any_change	drift_conflict_relevant_change	guided_change	unguided_drift	matches_stage1_vs_gold	matches_final_vs_gold	new_correct_in_final	new_wrong_in_final	risk_flagged	stage1_structural_risk	stage2_structural_risk	risk_resolution	polarity_conflict_raw	polarity_conflict_after_rep	stage_mismatch	unsupported_polarity	aspect_hallucination	alignment_failure_count	validator_s1_risk_ids	validator_s2_risk_ids	moderator_selected_stage	moderator_rules	drift_cause_tag	stage2_adopted_but_no_change	episodic_memory_effect	memory_enabled	memory_retrieved	memory_injected	memory_exposed_to_debate	memory_retrieved_n	memory_used	memory_injected_chars	memory_ids_or_hash	memory_blocked_episode_n	memory_blocked_advisory_n	memory_block_reason	risk_before_sum	risk_after_sum	risk_delta_sum	text
nikluge-sa-2022-train-02669		paper_main	explicit		stage1_tuples	1	컨실러|neutral	final_tuples	1	컨실러|neutral	1	컨실러|neutral	1	컨실러|neutral	inputs.gold_tuples	1	쉬드엘아티스트웨어스킨핏듀얼컨실러|positive	1	0	explicit	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1			stage2	RuleB		1	0	0	0	0	0	0	0	0		0	0		0.0	0.0	0.0	#쉬드엘아티스트웨어스킨핏듀얼컨실러 내마음 #컨실러순위 0번 😙😙
nikluge-sa-2022-train-02211		paper_main	explicit		stage1_tuples	1	라임리치향|neutral	final_tuples	1	라임리치향|negative	1	라임리치향|negative	1	라임리치향|negative	inputs.gold_tuples	1	라임리치향|positive	1	0	explicit	0	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0			stage2	RuleB	stage2_selected	0	0	0	0	0	0	0	0	0		0	0		0.0	0.0	0.0	라임리치향 넘나 상큼한 것
nikluge-sa-2022-train-01786		paper_main	implicit	not evaluated for explicit F1	stage1_tuples	1	파우치|neutral	final_tuples	1	파우치|negative	1	파우치|negative	1	파우치|negative	inputs.gold_tuples	1	|positive	0	1	implicit	0	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0			stage2	RuleB	stage2_selected	0	0	0	0	0	0	0	0	0		0	0		0.0	0.0	0.0	파우치에 쏙 넣고 자주 자주 발라줘야겠어요
nikluge-sa-2022-train-02482		paper_main	implicit	not evaluated for explicit F1	stage1_tuples	4	발림성|neutral;산뜻한느낌|neutral;젤제형|neutral;피부|neutral	final_tuples	3	발림성|neutral;젤제형|neutral;피부|neutral	3	발림성|neutral;젤제형|neutral;피부|neutral	3	발림성|neutral;젤제형|neutral;피부|neutral	inputs.gold_tuples	2	|positive;젤제형|positive	1	1	implicit	-1	1	1	1	1	1	0	0	0	0	3	1	1	0	1	0	0	0	1	1	4			stage2	RuleB	stage2_selected	0	1	0	0	0	0	0	0	0		0	0		0.0	0.0	0.0	여름에 사용하기 좋은 젤제형으로 부드럽고 촉촉한 발림성 피부에 빠르게 밀착되어 겉돌지않고 끈적이지 않아 산뜻한느낌!!
nikluge-sa-2022-train-01939		paper_main	implicit	not evaluated for explicit F1	stage1_tuples	2	머리부터 발끝까지 향기로운 여자|neutral;잔향|neutral	final_tuples	1	잔향|negative	1	잔향|negative	1	잔향|negative	inputs.gold_tuples	1	|positive	0	1	implicit	-1	1	1	1	1	1	0	0	0	0	1	1	1	0	1	0	0	0	1	1	2			stage2	RuleB	stage2_selected	0	1	0	0	0	0	0	0	0		0	0		0.0	0.0	0.0	샤워후 가볍게 뿌려주면 잔향도 오래가 머리부터 발끝까지 향기로운 여자~
nikluge-sa-2022-train-00565		paper_main	implicit	not evaluated for explicit F1	stage1_tuples	1	신세계|neutral	final_tuples	1	신세계|neutral	1	신세계|neutral	1	신세계|neutral	inputs.gold_tuples	1	|positive	0	1	implicit	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0			stage2	RuleB		1	0	0	0	0	0	0	0	0		0	0		0.0	0.0	0.0	이거슨 레알 신세계야😱
nikluge-sa-2022-train-01721		paper_main	explicit		stage1_tuples	4	게임|neutral;룰|neutral;방식|neutral;역할|neutral	final_tuples	2	게임|negative;룰|negative	2	게임|negative;룰|negative	2	게임|negative;룰|negative	inputs.gold_tuples	1	게임|positive	1	0	explicit	-2	1	1	1	1	1	0	0	0	0	2	1	1	0	1	0	0	0	1	1	4			stage2	RuleB	stage2_selected	0	1	0	0	0	0	0	0	0		0	0		0.0	0.0	0.0	아직 &name&는 룰을 다 이해못해서 지들만의 방식으로 놀았는데.. 어찌나 좋아하던지 서로 역할을 바꿔가며 주말내내 게임을 즐겼다.
nikluge-sa-2022-train-02384		paper_main	implicit	not evaluated for explicit F1	stage1_tuples	3	다용도실|neutral;발코니|neutral;욕실|neutral	final_tuples	3	다용도실|negative;발코니|negative;욕실|negative	3	다용도실|negative;발코니|negative;욕실|negative	3	다용도실|negative;발코니|negative;욕실|negative	inputs.gold_tuples	1	|positive	0	1	implicit	0	1	1	1	1	1	0	0	0	0	3	1	1	0	1	0	0	0	1	1	2			stage2	RuleB	stage2_selected	0	1	0	0	0	0	0	0	0		0	0		0.0	0.0	0.0	욕실, 다용도실,발코니 등 다양한곳에서 사용가능하니👍
nikluge-sa-2022-train-00536		paper_main	explicit		stage1_tuples	5	고가의 캐비아|neutral;마스크팩|neutral;저렴한 가격|neutral;피부 단백질 구조|neutral;피부관리|neutral	final_tuples	5	고가의 캐비아|neutral;마스크팩|neutral;저렴한 가격|neutral;피부 단백질 구조|neutral;피부관리|neutral	5	고가의 캐비아|neutral;마스크팩|neutral;저렴한 가격|neutral;피부 단백질 구조|neutral;피부관리|neutral	5	고가의 캐비아|neutral;마스크팩|neutral;저렴한 가격|neutral;피부 단백질 구조|neutral;피부관리|neutral	inputs.gold_tuples	1	마스크팩|positive	1	0	explicit	0	0	0	0	0	0	0	0	0	0	5	1	1	0	1	0	0	0	1	1	4			stage2	RuleB		1	0	0	0	0	0	0	0	0		0	0		0.0	0.0	0.0	피부 단백질 구조와 가장 흡사한 고가의 캐비아를 저렴한 가격에 마스크팩으로 피부관리를 할 수 있으니 #대박템 !!💜
nikluge-sa-2022-train-01823		paper_main	implicit	not evaluated for explicit F1	stage1_tuples	1	요거|neutral	final_tuples	1	요거|neutral	1	요거|neutral	1	요거|neutral	inputs.gold_tuples	1	|positive	0	1	implicit	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0			stage2	RuleB		1	0	0	0	0	0	0	0	0		0	0		0.0	0.0	0.0	요즘 건조해서 요거 안쓸수가없어요
nikluge-sa-2022-train-01707		paper_main	implicit	not evaluated for explicit F1	stage1_tuples	2	수면팩|neutral;피부|neutral	final_tuples	2	수면팩|neutral;피부|neutral	2	수면팩|neutral;피부|neutral	2	수면팩|neutral;피부|neutral	inputs.gold_tuples	1	|positive	0	1	implicit	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	1	1	1			stage2	RuleB		1	0	0	0	0	0	0	0	0		0	0		0.0	0.0	0.0	자기 전 듬뿍 발라 수면팩으로 사용하면 아침에 피부가 보들보들 쫀쫀하느낌이에요
nikluge-sa-2022-train-02651		paper_main	implicit	not evaluated for explicit F1	stage1_tuples	2	각질제거|neutral;피지제거|neutral	final_tuples	2	각질제거|negative;피지제거|negative	2	각질제거|negative;피지제거|negative	2	각질제거|negative;피지제거|negative	inputs.gold_tuples	1	|positive	0	1	implicit	0	1	1	1	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0			stage2	RuleB	stage2_selected	0	0	0	0	0	0	0	0	0		0	0		0.0	0.0	0.0	#각질제거 #피지제거 바르기만 하면 끝!
nikluge-sa-2022-train-02131		paper_main	explicit		stage1_tuples	2	디자인|neutral;북유럽풍|neutral	final_tuples	1	디자인|neutral	1	디자인|neutral	1	디자인|neutral	inputs.gold_tuples	1	북유럽풍|positive	1	0	explicit	-1	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1			stage2	RuleB	stage2_selected	0	0	0	0	0	0	0	0	0		0	0		0.0	0.0	0.0	디자인도 북유럽풍에 군더더기없어요~
nikluge-sa-2022-train-01813		paper_main	implicit	not evaluated for explicit F1	stage1_tuples	3	블루진|neutral;세미정장|neutral;스타일|neutral	final_tuples	3	블루진|neutral;세미정장|neutral;스타일|neutral	3	블루진|neutral;세미정장|neutral;스타일|neutral	3	블루진|neutral;세미정장|neutral;스타일|neutral	inputs.gold_tuples	1	|positive	0	1	implicit	0	0	0	0	0	0	0	0	0	0	3	1	1	0	1	0	0	0	1	1	2			stage2	RuleB		1	0	0	0	0	0	0	0	0		0	0		0.0	0.0	0.0	블루진부터 세미정장까지 어느 스타일에 다 잘 어울리지요
nikluge-sa-2022-train-00356		paper_main	explicit		stage1_tuples	1	사진찍기놀이 소품|neutral	final_tuples	1	사진찍기놀이 소품|negative	1	사진찍기놀이 소품|negative	1	사진찍기놀이 소품|negative	inputs.gold_tuples	1	사진찍기놀이 소품|positive	1	0	explicit	0	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0			stage2	RuleB	stage2_selected	0	0	0	0	0	0	0	0	0		0	0		0.0	0.0	0.0	사진찍기놀이 소품으로도 좋아!🖒
nikluge-sa-2022-train-02916		paper_main	explicit		stage1_tuples	5	#담크림 2종|neutral;내 피부|neutral;땀|neutral;자외선|neutral;폭염|neutral	final_tuples	5	#담크림 2종|neutral;내 피부|neutral;땀|neutral;자외선|neutral;폭염|neutral	5	#담크림 2종|neutral;내 피부|neutral;땀|neutral;자외선|neutral;폭염|neutral	5	#담크림 2종|neutral;내 피부|neutral;땀|neutral;자외선|neutral;폭염|neutral	inputs.gold_tuples	1	담크림 2종|positive	1	0	explicit	0	0	0	0	0	0	0	0	0	0	5	1	1	0	1	0	0	0	1	1	4			stage2	RuleB		1	0	0	0	0	0	0	0	0		0	0		0.0	0.0	0.0	자외선과 폭염, 땀으로 자극받은 내 피부를 위해 여름에 사용하기 딱 좋은 #담크림 2종 준비했어요
nikluge-sa-2022-train-00546		paper_main	explicit		stage1_tuples	1	부피|neutral	final_tuples	1	부피|neutral	1	부피|neutral	1	부피|neutral	inputs.gold_tuples	1	부피|positive	1	0	explicit	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0			stage2	RuleB		1	0	0	0	0	0	0	0	0		0	0		0.0	0.0	0.0	동글동글 부피가 작아서 어디든지 챙겨다닐 수 있어서 굿굿~
nikluge-sa-2022-train-00016		paper_main	implicit	not evaluated for explicit F1	stage1_tuples	1	오늘|neutral	final_tuples	1	오늘|neutral	1	오늘|neutral	1	오늘|neutral	inputs.gold_tuples	1	|negative	0	1	implicit	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	1	1			stage1	RuleB,RuleM,RuleD,RuleE		0	0	0	0	0	0	0	0	0		0	0		0.0	0.0	0.0	어제 샀는데 오늘 안 되더군.
nikluge-sa-2022-train-02850		paper_main	explicit		stage1_tuples	2	냄새|neutral;피부|neutral	final_tuples	2	냄새|neutral;피부|neutral	2	냄새|neutral;피부|neutral	2	냄새|neutral;피부|neutral	inputs.gold_tuples	1	냄새|neutral	1	0	explicit	0	0	1	0	0	1	0	1	1	0	1	1	1	0	1	0	0	1	1	1	2	CONTRAST_SCOPE		stage2	RuleB,RuleM,RuleD		0	0	0	0	0	0	0	0	0		0	0		2.0	0.0	-2.0	봄도 오고 피부도 푸석해서 최근에 #플라본세럼 을 사전출시전에 협찬받아서 써봤는데, #솔직한후기 로는 냄새는 #호블호 갈림..
nikluge-sa-2022-train-00037		paper_main	explicit		stage1_tuples	3	그레이|neutral;배색|neutral;핑크|neutral	final_tuples	3	그레이|neutral;배색|neutral;핑크|neutral	3	그레이|neutral;배색|neutral;핑크|neutral	3	그레이|neutral;배색|neutral;핑크|neutral	inputs.gold_tuples	1	배색|positive	1	0	explicit	0	0	0	0	0	0	0	0	0	0	3	0	1	0	1	0	0	0	1	1	1			stage2	RuleB		1	0	0	0	0	0	0	0	0		0	0		0.0	0.0	0.0	배색도 핑크랑 그레이라 무난하면서도 칙칙하지 않다.
nikluge-sa-2022-train-01941		paper_main	explicit		stage1_tuples	1	#크림|neutral	final_tuples	1	#크림|neutral	1	#크림|neutral	1	#크림|neutral	inputs.gold_tuples	1	크림|positive	1	0	explicit	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1			stage2	RuleB		1	0	0	0	0	0	0	0	0		0	0		0.0	0.0	0.0	무겁지않고 산뜻하게 촉촉하게 바를수 있는 #크림
nikluge-sa-2022-train-01613		paper_main	implicit	not evaluated for explicit F1	trace_atsa	1	|positive	inputs.aspect_sentiments	0		0		0		inputs.gold_tuples	1	|positive	0	1	implicit	-1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0			stage1	RuleB,RuleM,RuleD,RuleE	same_stage_tuples_differ	0	0	0	0	0	0	0	0	0		0	0		0.0	0.0	0.0	굿~🖒
nikluge-sa-2022-train-02228		paper_main	implicit	not evaluated for explicit F1	stage1_tuples	2	세안 후|neutral;세정력|neutral	final_tuples	2	세안 후|negative;세정력|negative	2	세안 후|negative;세정력|negative	2	세안 후|negative;세정력|negative	inputs.gold_tuples	1	|positive	0	1	implicit	0	1	1	1	1	1	0	0	0	0	2	0	1	0	1	0	0	0	1	1	1			stage2	RuleB	stage2_selected	0	1	0	0	0	0	0	0	0		0	0		0.0	0.0	0.0	세정력도 우수하고 세안 후 촉촉해요♥️
nikluge-sa-2022-train-01546		paper_main	implicit	not evaluated for explicit F1	stage1_tuples	2	목|neutral;어깨|neutral	final_tuples	2	목|negative;어깨|negative	2	목|negative;어깨|negative	2	목|negative;어깨|negative	inputs.gold_tuples	1	|positive	0	1	implicit	0	1	1	1	1	1	0	0	0	0	2	0	1	0	1	0	0	0	1	1	1			stage2	RuleB	stage2_selected	0	1	0	0	0	0	0	0	0		0	0		0.0	0.0	0.0	자고나면 어깨와 목이 풀린 느낌이고.. 시원하달까..개운해요^^
